sekunda,plama_px,plam,tlo_px,zapisana
157.8,0,0,246,0
158.0,0,0,0,0
158.2,0,0,0,0
158.5,0,0,0,0
158.8,0,0,252,0
159.0,0,0,0,0
159.2,0,0,0,0
159.5,0,0,0,0
159.8,0,0,97,0
160.0,0,0,0,0
160.2,0,0,0,0
160.5,0,0,0,0
160.8,0,0,272,0
161.0,0,0,0,0
161.2,0,0,0,0
161.5,0,0,0,0
161.8,0,0,214,0
162.0,0,0,0,0
162.2,0,0,0,0
162.5,0,0,0,0
162.8,0,0,84,0
163.0,0,0,0,0
163.2,0,0,0,0
163.5,0,0,0,0
163.8,0,0,528,0
164.0,0,0,0,0
164.2,0,0,0,0
164.5,0,0,0,0
164.8,0,0,248,0
165.0,0,0,0,0
165.2,0,0,0,0
165.5,0,0,0,0
165.8,0,0,214,0
166.0,0,0,0,0
166.2,0,0,0,0
166.5,0,0,0,0
166.8,0,0,137,0
167.0,0,0,0,0
167.2,0,0,0,0
167.5,0,0,0,0
167.8,0,0,238,0
168.0,0,0,0,0
168.2,0,0,0,0
168.5,0,0,0,0
168.8,0,0,240,0
169.0,0,0,0,0
169.2,0,0,0,0
169.5,0,0,0,0
169.8,0,0,97,0
170.0,0,0,0,0
170.2,0,0,0,0
170.5,0,0,0,0
170.8,0,0,272,0
171.0,0,0,0,0
171.2,0,0,0,0
171.5,0,0,0,0
171.8,0,0,219,0
172.0,0,0,0,0
172.2,0,0,0,0
172.5,0,0,0,0
172.8,0,0,86,0
173.0,0,0,0,0
173.2,0,0,0,0
173.5,0,0,0,0
173.8,0,0,382,0
174.0,0,0,0,0
174.2,0,0,0,0
174.5,0,0,0,0
174.8,0,0,254,0
175.0,0,0,0,0
175.2,0,0,0,0
175.5,0,0,0,0
175.8,0,0,208,0
176.0,0,0,0,0
176.2,0,0,0,0
176.5,0,0,0,0
176.8,0,0,131,0
177.0,0,0,0,0
177.2,0,0,0,0
177.5,0,0,0,0
177.8,0,0,244,0
178.0,0,0,0,0
178.2,0,0,0,0
178.5,0,0,0,0
178.8,0,0,241,0
179.0,0,0,0,0
179.2,0,0,0,0
179.5,0,0,0,0
179.8,0,0,94,0
